;x;freq;
7;Armadillo;3;Armadillo
8;Armadillo Mix;6;Armadillo
9;Bat;827;Bat
10;Bat Mix;1381;Bat
12;Bobcat Mix;1;Bobcat
67;Polish Mix;1;Rabbit
17;Chinchilla Mix;4;Chinchilla 
18;Chinchilla-Amer Mix;1;Chinchilla 
19;Chinchilla-Stnd Mix;2;Chinchilla 
26;Deer Mix;1;Deer
33;Ferret;13;Ferret
34;Ferret Mix;19;Ferret
36;Fox;17;Fox
37;Fox Mix;49;Fox
38;Frog;1;Frog
42;Hamster;10;Hamster
43;Hamster Mix;29;Hamster
46;Hedgehog;1;Hedgehog
52;Lizard;3;Lizard
53;Lizard Mix;10;Lizard
39;Gerbil Mix;6;Mouse
60;Mouse Mix;1;Mouse
64;Opossum;104;Opossum
65;Opossum Mix;179;Opossum
66;Otter Mix;1;Otter
40;Guinea Pig;47;Pig
41;Guinea Pig Mix;111;Pig
3;American Sable;1;Rabbit
4;American Sable Mix;1;Rabbit
5;Angora-English Mix;2;Rabbit
6;Angora-French Mix;1;Rabbit
11;Belgian Hare;1;Rabbit
13;Britannia Petit Mix;1;Rabbit
14;Californian;10;Rabbit
15;Californian Mix;24;Rabbit
16;Checkered Giant Mix;2;Rabbit
20;Cinnamon;2;Rabbit
21;Cinnamon Mix;2;Rabbit
23;Cottontail Mix;3;Rabbit
27;Dutch;1;Rabbit
28;Dutch Mix;4;Rabbit
29;Dutch/Angora-Satin;1;Rabbit
30;Dutch/Rabbit Sh;1;Rabbit
31;English Spot;3;Rabbit
32;English Spot Mix;10;Rabbit
35;Flemish Giant;2;Rabbit
44;Harlequin Mix;2;Rabbit
45;Havana Mix;7;Rabbit
47;Himalayan Mix;1;Rabbit
48;Hotot Mix;4;Rabbit
49;Jersey Wooly Mix;2;Rabbit
50;Lionhead;7;Rabbit
51;Lionhead Mix;15;Rabbit
54;Lop-Amer Fuzzy Mix;1;Rabbit
55;Lop-English Mix;11;Rabbit
56;Lop-Holland;2;Rabbit
57;Lop-Holland Mix;7;Rabbit
58;Lop-Mini;3;Rabbit
59;Lop-Mini Mix;3;Rabbit
61;Netherlnd Dwarf;2;Rabbit
62;Netherlnd Dwarf Mix;4;Rabbit
63;New Zealand Wht Mix;6;Rabbit
68;Rabbit Lh;1;Rabbit
69;Rabbit Lh Mix;13;Rabbit
70;Rabbit Sh;31;Rabbit
71;Rabbit Sh Mix;293;Rabbit
72;Rabbit Sh/Lop-Mini;1;Rabbit
77;Rex;2;Rabbit
78;Rex Mix;17;Rabbit
79;Rex-Mini;2;Rabbit
80;Rex-Mini Mix;1;Rabbit
81;Rex-Mini/Lop-English;1;Rabbit
82;Ringtail Mix;1;Rabbit
83;Silver Mix;1;Rabbit
73;Raccoon;235;Raccoon
74;Raccoon Mix;471;Raccoon
75;Rat;15;Rat
76;Rat Mix;45;Rat
84;Skunk;41;Skunk
85;Skunk Mix;83;Skunk
86;Snake;8;Snake
87;Snake Mix;14;Snake
88;Snake/Snake;1;Snake
89;Squirrel;36;Squirrel
90;Squirrel Mix;74;Squirrel
91;Sugar Glider;1;Sugar Glider
92;Tarantula;6;Tarantula
93;Tortoise;1;Tortoise
94;Tortoise Mix;7;Tortoise
96;Turtle;2;Turtle
97;Turtle Mix;18;Turtle
1;American;1;Other
2;American Mix;4;Other
22;Cold Water;9;Other
95;Tropical Mix;1;Other
24;Coyote;5;Coyote
25;Coyote Mix;9;Coyote
