"","x","freq"
"1","American",5
"2","American Sable",2
"3","Angora-English",2
"4","Angora-French",1
"5","Armadillo",9
"6","Bat",2208
"7","Belgian Hare",1
"8","Bobcat",1
"9","Britannia Petit",1
"10","Californian",34
"11","Checkered Giant",2
"12","Chinchilla",4
"13","Chinchilla-Amer",1
"14","Chinchilla-Stnd",2
"15","Cinnamon",4
"16","Cold Water",9
"17","Cottontail",3
"18","Coyote",14
"19","Deer",1
"20","Dutch",5
"21","Dutch/Angora-Satin",1
"22","English Spot",13
"23","Ferret",32
"24","Flemish Giant",2
"25","Fox",66
"26","Frog",1
"27","Gerbil",6
"28","Guinea Pig",158
"29","Hamster",39
"30","Harlequin",2
"31","Havana",7
"32","Hedgehog",1
"33","Himalayan",1
"34","Hotot",4
"35","Jersey Wooly",2
"36","Lionhead",22
"37","Lizard",13
"38","Lop-Amer Fuzzy",1
"39","Lop-English",11
"40","Lop-Holland",9
"41","Lop-Mini",6
"42","Mouse",1
"43","Netherlnd Dwarf",6
"44","New Zealand Wht",6
"45","Opossum",283
"46","Otter",1
"47","Polish",1
"48","Rabbit",340
"49","Raccoon",706
"50","Rat",60
"51","Rex",19
"52","Rex-Mini",3
"53","Rex-Mini/Lop-English",1
"54","Ringtail",1
"55","Silver",1
"56","Skunk",124
"57","Snake",22
"58","Snake/Snake",1
"59","Squirrel",110
"60","Sugar Glider",1
"61","Tarantula",6
"62","Tortoise",8
"63","Tropical",1
"64","Turtle",20
